	TCR_401AB	TCR_403A	TCR_403B	TCR_464A	TCR_471A	TCR_663	TCR_668	TCR_669	TCR_672
clonotype465	1	1	0	0	1	1	1	1	1
clonotype466	1	1	0	0	1	1	1	1	1
clonotype467	1	1	0	0	1	1	1	1	1
clonotype468	1	1	0	0	1	1	1	1	1
clonotype469	1	1	0	0	1	1	1	1	1
clonotype470	1	1	0	0	1	1	1	1	1
clonotype471	1	1	0	0	1	1	1	1	1
clonotype472	1	1	0	0	1	1	1	1	1
clonotype473	1	1	0	0	1	1	1	1	1
clonotype474	1	1	0	0	1	1	1	1	1
clonotype475	1	1	0	0	1	1	1	1	1
clonotype476	1	1	0	0	1	1	1	1	1
clonotype477	1	1	0	0	1	1	1	1	1
clonotype478	1	1	0	0	1	1	1	1	1
clonotype479	1	1	0	0	1	1	1	1	1
clonotype480	1	1	0	0	1	1	1	1	1
clonotype481	1	1	0	0	1	1	1	1	1
clonotype482	1	1	0	0	1	1	1	1	1
clonotype483	1	1	0	0	1	1	1	1	1
clonotype484	1	1	0	0	1	1	1	1	1
clonotype485	1	1	0	0	1	1	1	1	1
clonotype486	1	1	0	0	1	1	1	1	1
clonotype487	1	1	0	0	1	1	1	1	1
clonotype488	1	1	0	0	1	1	1	1	1
clonotype489	1	1	0	0	1	1	1	1	1
clonotype490	1	1	0	0	1	1	1	1	1
clonotype491	1	1	0	0	1	1	1	1	1
clonotype492	1	1	0	0	1	1	1	1	1
clonotype493	1	1	0	0	1	1	1	1	1
clonotype494	1	1	0	0	1	1	1	1	1
clonotype495	1	1	0	0	1	1	1	1	1
clonotype496	1	1	0	0	1	1	1	1	1
clonotype497	1	1	0	0	1	1	1	1	1
clonotype498	1	1	0	0	1	1	1	1	1
clonotype499	1	1	0	0	1	1	1	1	1
clonotype500	1	1	0	0	1	1	1	1	1
clonotype501	1	1	0	0	1	1	1	1	1
clonotype502	1	1	0	0	1	1	1	1	1
clonotype503	1	1	0	0	1	1	1	1	1
clonotype504	1	1	0	0	1	1	1	1	1
clonotype505	1	1	0	0	1	1	1	1	1
clonotype506	1	1	0	0	1	1	1	1	1
clonotype507	1	1	0	0	1	1	1	1	1
clonotype508	1	1	0	0	1	1	1	1	1
clonotype509	1	1	0	0	1	1	1	1	1
clonotype510	1	1	0	0	1	1	1	1	1
clonotype511	1	1	0	0	1	1	1	1	1
clonotype512	1	1	0	0	1	1	1	1	1
clonotype513	1	1	0	0	1	1	1	1	1
clonotype514	1	1	0	0	1	1	1	1	1
clonotype515	1	1	0	0	1	1	1	1	1
clonotype516	1	1	0	0	1	1	1	1	1
clonotype517	1	1	0	0	1	1	1	1	1
clonotype518	1	1	0	0	1	1	1	1	1
clonotype519	1	1	0	0	1	1	1	1	1
clonotype520	1	1	0	0	1	1	1	1	1
clonotype521	1	1	0	0	1	1	1	1	1
clonotype522	1	1	0	0	1	1	1	1	1
clonotype523	1	1	0	0	1	1	1	1	1
clonotype524	1	1	0	0	1	1	1	1	1
clonotype525	1	1	0	0	1	1	1	1	1
clonotype526	1	1	0	0	1	1	1	1	1
clonotype527	1	1	0	0	1	1	1	1	1
clonotype528	1	1	0	0	1	1	1	1	1
clonotype529	1	1	0	0	1	1	1	1	1
clonotype530	1	1	0	0	1	1	1	1	1
clonotype531	1	1	0	0	1	1	1	1	1
clonotype532	1	1	0	0	1	1	1	1	1
clonotype533	1	1	0	0	1	1	1	1	1
clonotype534	1	1	0	0	1	1	1	1	1
clonotype535	1	1	0	0	1	1	1	1	1
clonotype536	1	1	0	0	1	1	1	1	1
clonotype537	1	1	0	0	1	1	1	1	1
clonotype538	1	1	0	0	1	1	1	1	1
clonotype539	1	0	0	0	1	1	1	1	1
clonotype540	1	0	0	0	1	1	1	1	1
clonotype541	1	0	0	0	1	1	1	1	1
clonotype542	1	0	0	0	1	1	1	1	1
clonotype543	1	0	0	0	1	1	1	1	1
clonotype544	1	0	0	0	1	1	1	0	1
clonotype545	1	0	0	0	1	1	1	1	1
clonotype546	1	0	0	0	1	1	1	1	1
clonotype547	1	0	0	0	1	1	1	1	1
clonotype548	1	0	0	0	1	1	1	1	1
clonotype549	1	0	0	0	1	1	1	1	1
clonotype550	1	0	0	0	1	1	1	1	1
clonotype551	1	0	0	0	1	1	1	1	1
clonotype552	1	0	0	0	1	1	1	1	1
clonotype553	1	0	0	0	1	1	1	1	1
clonotype554	1	0	0	0	1	1	1	1	1
clonotype555	1	0	0	0	1	1	1	1	1
clonotype556	1	0	0	0	1	1	1	1	1
clonotype557	1	0	0	0	1	1	1	1	1
clonotype558	1	0	0	0	1	1	1	1	1
clonotype559	1	0	0	0	1	1	1	1	1
clonotype560	1	0	0	0	1	1	1	1	1
clonotype561	1	0	0	0	1	1	1	1	1
clonotype562	1	0	0	0	1	1	1	1	1
clonotype563	1	0	0	0	1	1	1	1	1
clonotype564	1	0	0	0	1	1	1	1	1
clonotype565	1	0	0	0	1	1	1	1	1
clonotype566	1	0	0	0	1	1	1	1	1
clonotype567	1	0	0	0	1	1	1	1	1
clonotype568	1	0	0	0	1	1	1	1	1
clonotype569	1	0	0	0	1	1	1	1	1
clonotype570	1	0	0	0	1	1	1	1	1
clonotype571	1	0	0	0	1	1	1	1	1
clonotype572	1	0	0	0	1	1	1	1	1
clonotype573	1	0	0	0	1	1	1	1	1
